UserID,Gender,Age,Occupation
1,0,0.16666666666666666,10
2,1,0.0,16
3,1,0.5,15
4,1,0.8333333333333334,7
5,1,0.5,20
6,0,1.0,9
7,1,0.6666666666666666,1
8,1,0.5,12
9,1,0.5,17
10,0,0.6666666666666666,1
11,0,0.5,1
12,1,0.5,12
13,1,0.8333333333333334,1
14,1,0.6666666666666666,0
15,1,0.5,7
16,0,0.6666666666666666,0
17,1,1.0,1
18,0,0.3333333333333333,3
19,1,0.16666666666666666,10
20,1,0.5,14
21,1,0.3333333333333333,16
22,1,0.3333333333333333,15
23,1,0.6666666666666666,0
24,0,0.5,7
25,1,0.3333333333333333,4
26,1,0.5,7
27,1,0.5,11
28,0,0.5,1
29,1,0.6666666666666666,7
30,0,0.6666666666666666,7
31,1,0.0,7
32,0,0.5,0
33,1,0.8333333333333334,3
34,0,0.3333333333333333,0
35,1,0.8333333333333334,1
36,1,0.5,3
37,0,0.5,9
38,0,0.3333333333333333,4
39,1,0.3333333333333333,4
40,1,0.8333333333333334,0
41,0,0.3333333333333333,4
42,1,0.5,8
43,1,0.5,12
44,1,0.8333333333333334,17
45,0,0.8333333333333334,16
46,1,0.3333333333333333,19
47,1,0.3333333333333333,4
48,1,0.5,4
49,1,0.3333333333333333,12
50,0,0.5,2
51,0,0.16666666666666666,10
52,1,0.3333333333333333,4
53,1,0.5,0
54,1,1.0,1
55,0,0.6666666666666666,12
56,1,0.6666666666666666,20
57,1,0.3333333333333333,19
58,1,0.5,2
59,0,1.0,1
60,1,1.0,1
61,1,0.5,17
62,0,0.6666666666666666,3
63,1,0.3333333333333333,4
64,1,0.3333333333333333,1
65,1,0.6666666666666666,12
66,1,0.5,18
67,0,1.0,5
68,1,0.3333333333333333,4
69,0,0.5,1
70,1,0.3333333333333333,4
71,1,0.5,14
72,0,0.8333333333333334,0
73,1,0.3333333333333333,4
74,1,0.6666666666666666,14
75,0,0.16666666666666666,10
76,1,0.6666666666666666,7
77,1,0.3333333333333333,4
78,0,0.8333333333333334,1
79,0,0.8333333333333334,0
80,1,0.0,1
81,0,0.5,0
82,1,0.5,17
83,0,0.5,2
84,1,0.3333333333333333,4
85,1,0.3333333333333333,4
86,0,0.16666666666666666,10
87,1,0.5,14
88,0,0.8333333333333334,1
89,0,0.0,9
90,1,0.0,13
91,1,0.6666666666666666,7
92,0,0.3333333333333333,4
93,1,0.5,17
94,1,0.5,17
95,1,0.8333333333333334,0
96,0,0.5,16
97,0,0.6666666666666666,3
98,0,0.6666666666666666,7
99,0,0.16666666666666666,10
100,1,0.6666666666666666,17
101,0,0.3333333333333333,3
102,1,0.6666666666666666,19
103,1,0.8333333333333334,7
104,1,0.5,12
105,1,0.8333333333333334,12
106,0,0.6666666666666666,11
107,1,0.8333333333333334,18
108,1,0.5,12
109,1,0.8333333333333334,15
110,1,0.5,2
111,1,0.6666666666666666,15
112,1,0.5,16
113,1,0.3333333333333333,12
114,0,0.5,2
115,1,0.5,17
116,1,0.5,17
117,1,0.5,17
118,1,0.6666666666666666,17
119,0,0.16666666666666666,10
120,1,0.5,11
121,1,0.6666666666666666,7
122,0,0.3333333333333333,4
123,1,0.6666666666666666,9
124,1,0.0,7
125,1,0.8333333333333334,14
126,1,0.3333333333333333,9
127,0,0.8333333333333334,3
128,1,0.0,6
129,1,0.5,11
130,1,0.6666666666666666,17
131,1,0.3333333333333333,4
132,1,0.5,17
133,0,0.5,0
134,1,0.5,0
135,1,0.3333333333333333,4
136,1,0.3333333333333333,2
137,0,0.8333333333333334,6
138,1,0.3333333333333333,20
139,0,0.5,20
140,0,0.6666666666666666,1
141,1,0.6666666666666666,13
142,1,0.5,7
143,1,0.3333333333333333,3
144,1,0.5,17
145,1,0.3333333333333333,4
146,0,0.6666666666666666,20
147,1,0.3333333333333333,4
148,1,1.0,17
149,1,0.5,1
150,1,0.6666666666666666,7
151,0,0.5,20
152,1,0.3333333333333333,4
153,1,0.16666666666666666,10
154,1,1.0,20
155,1,0.6666666666666666,12
156,0,0.8333333333333334,7
157,1,0.6666666666666666,16
158,1,0.0,7
159,0,0.8333333333333334,0
160,1,0.6666666666666666,7
